Tower Name,Elevation,Latitude,Longitude
38  WTG 3 F6 33 KV Line,165.3,23.2637158130,69.2350961430
39  WTG 3 F6 33 KV Line,164.6,23.2641138820,69.2346862110
40  WTG 3 F6 33 KV Line,162,23.2644486460,69.2343250500
41  WTG 3 F6 33 KV Line,160.8,23.2650269090,69.2342282910
42  WTG 3 F6 33 KV Line,161.6,23.2655961520,69.2341217380
43  WTG 3 F6 33 KV Line,161.9,23.2661111540,69.2340444210
44  WTG 3 F6 33 KV Line,162,23.2666808190,69.2336543320
45  WTG 3 F6 33 KV Line,167.1,23.2668714870,69.2329995970
46  WTG 3 F6 33 KV Line,173.4,23.2670619930,69.2324524080
47  WTG 3 F6 33 KV Line,176.3,23.2672163650,69.2319051550
48  WTG 3 F6 33 KV Line,180.6,23.2673254830,69.2314164860
49  WTG 3 F6 33 KV Line,183.5,23.2674526520,69.2309376240
50  WTG 3 F6 33 KV Line,182.9,23.2675706710,69.2305369630
51  WTG 3 F6 33 KV Line,179.5,23.2677700300,69.2301071100
52  WTG 3 F6 33 KV Line,176.8,23.2682396060,69.2302056890
53  WTG 3 F6 33 KV Line,176.1,23.2687543610,69.2302945680
54  WTG 3 F6 33 KV Line,176.2,23.2692420750,69.2303442930
55  WTG 3 F6 33 KV Line,177.9,23.2696936140,69.2304232880
56  WTG 3 F6 33 KV Line,178.8,23.2701631890,69.2305218690
57  WTG 3 F6 33 KV Line,177.7,23.2701086030,69.2307857640
